time,open,high,low,close,volume
2025-03-04 04:00:00+00:00,92.483,92.484,92.273,92.396,8892
2025-03-04 05:00:00+00:00,92.396,92.654,92.251,92.64,12786
2025-03-04 06:00:00+00:00,92.642,92.88,92.596,92.869,9428
2025-03-04 07:00:00+00:00,92.87,92.898,92.488,92.688,13778
2025-03-04 08:00:00+00:00,92.686,92.816,92.358,92.584,16153
2025-03-04 09:00:00+00:00,92.582,92.795,92.554,92.738,12281
2025-03-04 10:00:00+00:00,92.737,92.737,92.556,92.606,8877
2025-03-04 11:00:00+00:00,92.604,92.66,92.36,92.534,8394
2025-03-04 12:00:00+00:00,92.526,92.584,92.398,92.468,10847
2025-03-04 13:00:00+00:00,92.465,92.586,92.26,92.27,16159
2025-03-04 14:00:00+00:00,92.269,92.569,92.107,92.11,23281
2025-03-04 15:00:00+00:00,92.106,92.286,91.857,92.078,20137
2025-03-04 16:00:00+00:00,92.074,92.494,91.95,92.412,14808
2025-03-04 17:00:00+00:00,92.412,92.582,92.36,92.451,12529
2025-03-04 18:00:00+00:00,92.45,92.91,92.432,92.884,12862
2025-03-04 19:00:00+00:00,92.884,93.304,92.87,93.27,8230
2025-03-04 20:00:00+00:00,93.267,93.628,93.128,93.189,12005
2025-03-04 21:00:00+00:00,93.191,93.994,93.172,93.954,10876
2025-03-04 22:00:00+00:00,93.819,93.896,93.8,93.879,966
2025-03-04 23:00:00+00:00,93.882,94.168,93.818,93.912,4155
2025-03-05 00:00:00+00:00,93.912,93.914,93.594,93.798,11236
2025-03-05 01:00:00+00:00,93.804,94.056,93.7,93.741,15871
2025-03-05 02:00:00+00:00,93.738,93.74,93.464,93.47,12836
2025-03-05 03:00:00+00:00,93.468,93.76,93.338,93.74,12139
2025-03-05 04:00:00+00:00,93.741,93.764,93.59,93.625,9433
2025-03-05 05:00:00+00:00,93.624,93.713,93.536,93.64,8372
2025-03-05 06:00:00+00:00,93.638,93.806,93.543,93.754,8755
2025-03-05 07:00:00+00:00,93.759,94.0,93.678,93.744,12624
2025-03-05 08:00:00+00:00,93.745,93.941,93.606,93.776,15009
2025-03-05 09:00:00+00:00,93.777,93.936,93.718,93.87,11482
2025-03-05 10:00:00+00:00,93.87,93.963,93.749,93.841,10389
2025-03-05 11:00:00+00:00,93.842,93.908,93.724,93.811,10030
2025-03-05 12:00:00+00:00,93.817,93.954,93.754,93.866,11971
2025-03-05 13:00:00+00:00,93.866,94.07,93.606,93.802,20229
2025-03-05 14:00:00+00:00,93.803,93.903,93.674,93.746,20019
2025-03-05 15:00:00+00:00,93.738,94.24,93.594,93.902,22246
2025-03-05 16:00:00+00:00,93.899,94.034,93.602,93.904,16765
2025-03-05 17:00:00+00:00,93.906,94.18,93.796,94.134,14400
2025-03-05 18:00:00+00:00,94.134,94.251,93.956,94.201,15543
2025-03-05 19:00:00+00:00,94.2,94.384,94.182,94.32,11592
2025-03-05 20:00:00+00:00,94.319,94.402,94.283,94.391,9614
2025-03-05 21:00:00+00:00,94.388,94.404,94.29,94.324,6470
2025-03-05 22:00:00+00:00,94.254,94.351,94.216,94.252,646
2025-03-05 23:00:00+00:00,94.239,94.407,94.202,94.346,3069
2025-03-06 00:00:00+00:00,94.345,94.598,94.316,94.418,8405
2025-03-06 01:00:00+00:00,94.419,94.676,94.376,94.634,10146
2025-03-06 02:00:00+00:00,94.634,94.72,94.516,94.65,9490
2025-03-06 03:00:00+00:00,94.652,94.663,94.532,94.606,7174
2025-03-06 04:00:00+00:00,94.606,94.71,94.543,94.694,6467
2025-03-06 05:00:00+00:00,94.69,94.698,94.385,94.392,8041
2025-03-06 06:00:00+00:00,94.39,94.444,94.28,94.34,8049
2025-03-06 07:00:00+00:00,94.342,94.364,93.945,93.956,12412
2025-03-06 08:00:00+00:00,93.954,94.046,93.806,93.87,15220
2025-03-06 09:00:00+00:00,93.868,93.868,93.472,93.656,12999
2025-03-06 10:00:00+00:00,93.656,93.756,93.518,93.572,13161
2025-03-06 11:00:00+00:00,93.57,93.68,93.45,93.649,12266
